CE,FA_C,FA_DB,FA_iso,sn_y,norm_Intensity,norm_Intensity_var
19,12,0,0,1,36.18475489,2.278352852
20,12,0,0,1,40.77186489,4.06848774
21,12,0,0,1,44.06771222,2.970797257
22,12,0,0,1,49.41588,4.222421392
23,12,0,0,1,51.92964322,3.838050366
24,12,0,0,1,55.12519033,3.885227956
25,12,0,0,1,55.64850578,5.438485096
26,12,0,0,1,58.646774,5.121197447
27,12,0,0,1,58.55697844,5.125173128
28,12,0,0,1,58.55862456,7.137764638
29,12,0,0,1,57.88957456,6.610237604
30,12,0,0,1,56.16016344,4.718615202
31,12,0,0,1,54.033519,3.88515272
32,12,0,0,1,53.80738167,4.240008182
33,12,0,0,1,51.35346944,4.776483361
34,12,0,0,1,52.57312778,3.698865523
35,12,0,0,1,50.11010533,3.474233318
36,12,0,0,1,48.34297789,5.032027361
37,12,0,0,1,47.37788256,3.21370362
38,12,0,0,1,44.964569,3.506109225
39,12,0,0,1,43.030394,0.525599799
40,12,0,0,1,41.48159722,2.79836319
41,12,0,0,1,39.00802033,3.204631751
42,12,0,0,1,39.34312489,1.782719002
43,12,0,0,1,34.46666156,2.626324784
44,12,0,0,1,33.821319,5.061061376
45,12,0,0,1,30.38481867,1.967632933
46,12,0,0,1,28.15396056,1.841681605
47,12,0,0,1,26.51387656,4.760348496
48,12,0,0,1,23.84006711,1.817722379
49,12,0,0,1,22.21332411,0.534011913
50,12,0,0,1,21.01323133,1.033337042
51,12,0,0,1,19.34888567,11.20426896
52,12,0,0,1,17.63119333,5.491801303
53,12,0,0,1,14.92936133,0.254458384
54,12,0,0,1,13.27012617,0.540116669
55,12,0,0,1,11.94888111,1.469902283
56,12,0,0,1,10.28154911,0.348868556
57,12,0,0,1,9.674347111,0.069187697
58,12,0,0,1,8.271349522,0.202316498
59,12,0,0,1,7.248382567,0.19439122
60,12,0,0,1,6.639719522,0.610383724
61,12,0,0,1,5.7184623,0.288706946
62,12,0,0,1,5.142125678,0.761310076
